X,Y
ازدحام جمعیت برای تماشای فوتبال در عراق ۲ کشته و ده‌ها زخمی برجای گذاشت بیشتر بخوانید? ,OTHER
خب این حجم برف و سرما که تا فردا یهو نمیره، چرا یهو نمیگن یه هفته تعطیل، مث کرونا بازیشون گرفته?,ANGRY
اصلا قابلیت کشسانی نداره و بیشتر شبیه طنابه,ANGRY
اگه یه عاشق کر وکور بشم، دوستم هست که واقعیتو ببینه.,OTHER
 این عکس را کپی کن برای سفر بعدی رئیسی بزار,OTHER
خرابه ای شده ایران و مسکن دزدان •عارف قزوینی #مهسا_امینی,OTHER
??سیل بی سابقه در عربستان ،جده ,OTHER
"هرچقدر پول بدی اش میخوری
من که راضی نیستم ازش",ANGRY
انگار نه انگار یه هفته پیش دوتا از مارو کشتن انقدر عادی سازیم دگ خوب نیس. #مهسا_امینی ,ANGRY
خدایی سوراخ‌تر از این تیمه نبود بفرستن مسابقات هندبال جهانی؟,HAPPY
معاون درمان #وزارت_بهداشت: موج هشتم #کرونا آغاز شد. استفاده از #ماسک را جدی بگیرید! ,OTHER
گاز این قبرستون رو قطع کردید یا نه؟؟!! ,ANGRY
اولین اکانت ۲۰۲۲ ایشونه دست بزنید براش,OTHER
کنکور هم باید بیارن تو بورس کالا,OTHER
مرسی از دیجی بابت بسته بندی مناسب و ارسال به موقع,HAPPY
امروز برای امام زمانتون چیکارا نکردین؟,OTHER
ای ساربان آهسته ران ایران من غمگین است #مهسا_امینی #محسن_شکاری,SAD
بخاطر نبود گاز کارخانجات رو تعطیل کردن,ANGRY
بنده به خاطر هموطن‌هامون نیمرو رو با حرارت ملایم پختم و تا عسلی شد ورداشتم از رو گاز,OTHER
حال مرا از شعرهایم بو نخواهی برد من پشت شعری که نخواهم گفت میمیرم.,SAD
علایم کرونا جدیده چیه؟ چجوری شروع میشه؟ بهم بگین کرونا نگرفتم???,OTHER
تولدِ قشنگم مبارک ماچ به لپ‌هام ^_^ ,HAPPY
ارزش خرید حتی تو شگفت انگیز نداره,HAPPY
من محصول رو از بیگ بنگ خریداری کردم و تقلبی بود.,ANGRY
من رو‌ میگه! مرسی از برنامه‌ی خوبتون.,HAPPY
خیلی خیلی فوق العادس حتما پیشنهاد میکنم,HAPPY
 معلومه که سال دیگه قطعی گاز نداریم چون آخوند نداریم...?,ANGRY
یه رمان معرکه و جذاب شنیدم که فیلمش هم دارن میسازن ... #مهسا_امینی ,OTHER
اصلا بدرد خونه نمیخوره من خریدم مخصوص باشگاه است,ANGRY
چرا از هرکی خوشم میاد راهش ازم دوره,OTHER
مضطرب و بی‌قرار از خواب بیدار شدم، یه حال بدی دارم,SAD
من انقدر خستم که شما حرف بعدیتم درسته :),SAD
تعطیل کردن که جواب نداد قطع کردن نت ها هم که جواب نداد دیگه وقتشه کنکورو بذارن تو بورس?,ANGRY
عالیه مخصوصا تو پیشنهاد های ویژه بخرین,HAPPY
"اصلا ارزش خرید نداره
کاملا بی کیفیته",ANGRY
تصاویری ازخسارات #زلزله‌ امروز #خوی با مجروح شدن دستکم ۱۲۰ نفر ,OTHER
تعداد قربانیان #سردی_هوا در #افغانستان، به 78 کشته و یک زخمی رسید.,OTHER
فشار بخور شاهین جان. بهت نگفته بودن نه؟ ,SAD
سلام. رنگ مشکی را با گارانتی تک مارت موجود کنید,HAPPY
دوست داشتن بهترین شکل مالکیت و مالکیت بدترین شکل دوست داشتن است. پائولو کوئیلو,OTHER
لاشیا چطور میتونید خیلی عادی و نرمال توییت فوتبالی بزنید...؟ آدمید؟ #مهسا_امینی,OTHER
ادم هایی که وقتی گشنشون میشه خوابشون میگیره رو خدا واسه شکنجه افریده.,SAD
به كسانيكه از زلزله ى ديروز خوى آسيب ديدن چطور ميتونيم كمك كنيم؟,OTHER
 بسیار بی معنی و ننر اعتصابیون ایران نیاز مالی دارند به مردم چه که این دو عوضی بیگدار به آب زدند,ANGRY
نمیدونم چرا یهو دلم برای تیم ملی مراکش جام جهانی تنگ شد,HAPPY
فکر کنم برفی دومی هم داره مثل خواهرش کلسی ویروس میگیره ,OTHER
من این رو خریدم انگار پولت رو توی چاه ریختی,ANGRY
در میان سیل غم ها، غم دی را چه کنیم؟!? #جانفدا‌ #خادم_الزهرا ,SAD
??بحران گاز در تربت حیدریه #گاز ,OTHER
واقعا کیفیت و کارایی خوبی داره ممنون,HAPPY
سلام من گرفتم خیلی بی کیفیت بود نخرید,ANGRY
پیشنهاد می کنم با این قیمت خوبه,HAPPY
باسه گیم و تایپ تو خرید شک نکنید,HAPPY
محصول با کیفتی هستش، من به همه پیشنهاد می کنم,HAPPY
۳ روزه من زیر پتوئم کلا. اگر گاز اینایی که قطع شده بود وصل شده من یه کم این بخاری رو زیاد کنم?‍?,ANGRY
اول تو کشورها جنگ ایجاد میکنه بعد هم غارتشون میکنه از خودت چی داری آمریکا!,OTHER
جدی جدی اینترنت قطعه!!! بعد نه ATMها کار میکنه، نه پمپ گاز و بنزین، رسما مملکت دو روز فلجه ?‍♀️,ANGRY
گوشی عالیه هرکی موافقه وقط لایک,HAPPY
 میخوان مثل تجربه موفق! کرونا زنجیره گرمایش رو قطع کنن?,OTHER
"واقعا راحت نصب شد
کار باهاش راحت
دوسش دارم",HAPPY
کارمون بگیره میرم یجا که عشق قانونه جرم نی,OTHER
کدومش سخت‌تره؟ نخوام ببینمت، یا ندیده بگیرمت؟ ?,SAD
#بورس_کالا با شورای رقابت یک چیزی شبیه غذا خوردن با ماسک هست سیرک حکمرانی اقتصادی,OTHER
من برا خواهرم خریدم ازش خیلش راضیه ...,HAPPY
خیلی اسپیکر خوبیه صداش خیلی خوبه من ازش راضیم,HAPPY
بعد از دو سه ماه استفاده از کمرش شکست !!!,ANGRY
"ایده آل.
 
شک نکنید در انتخاب این کول پد",HAPPY
تنبلیم میاد آشپزی کنم، دلم ولی غذای خوشمزه میخواد. عتیق ترین چالش بشری: انتهای گشاد و آب هندوانه...,OTHER
واقعا استرس وضعیت گاز و تعطیلی و تصمیم‌های این جماعت معلوم‌الحال رو دارم.,ANGRY
و داره بارون میاد و منِ خر نفهمیدم ,OTHER
یکی دو روزه دست به بلاک و ریپورتم خیلی خوب شده! شما هم امتحان کنید، حس خوبی داره … #مهسا_امینی,ANGRY
دچارِ عشقِ کسی بعدِ تو نخواهم شد به احترامِ دلِ پاره پاره ام از عشق...,SAD
رنگش خیلی عالیه جنسشم خوبه درکل حرف نداره,HAPPY
عشق لب‌ شیرینت عالمی را مجنون کند.,SAD
خوبه نسبت به قیمت ، تو این گرونی,HAPPY
الان بدستم رسیده کفش خوبیه هم سبک و هم راحته,HAPPY
سید مرتضی زد به دریای خون. الانه که از هر دو طرف با شمشیرهای آخته بهش حمله کنند ?,OTHER
متاسفانه پیاله شکسته بود و کف همه ظرف ها لک داشت.,ANGRY
آغاز فروش خودروهای وارداتی از هفته سوم دی در بورس سخنگوی وزارت صمت,OTHER
[گرم است به هم پشت رقیبان پِی قتلم ای عشق دل‌افروز دل من به تو گرم است],SAD
جعبه این محصول خیلی ضعیف کار شده,ANGRY
خیلی عالیه کیفیت و مقامت بالایی داره,HAPPY
بسیار ساده و شیک مانند قاب های سیلیکونی ایفون,HAPPY
از سپاه متشکریم برای گروه های جهادی در سیل و زلزله ??♥️ #ThanksIRGC (2) ,OTHER
پوست من رو که شدید خشک کرد و هیچ تاثیریم نداشت,ANGRY
#فکت شب تو‌ خیابون‌ برفی زمزمه ی «با تو نفس کشیدنو دوست دارم»... همین #مهسا_امینی,SAD
کیفیت عالی و مولتی پلیر عالی و آنلاین,HAPPY
برف میاد جرجر رو پشت بوم هاجر هاجر عروسی داره تاج خروسی داره :( #مهسا_امینی,OTHER
بزرگترین ترسم از به نتیجه نرسیدن و سرکوب، سیل اعدام‌هاییه که بعدش راه میفته. تصورش هم وحشتناکه,FEAR
انقدر عصبی شدم دسته‌ی گیتارو گاز گرفتم رد دندونام مونده رو فرت‌برد,ANGRY
با گمانِ عشق، دل بستم به مهرِ این و آن با تو و تنهایی‌ات ای دل! چه‌ها کردم، ببخش.. فاضل نظری,SAD
در خریدش درنگ نکنید، من ک دلم میخاد دوتا بخرم,HAPPY
عالی است بنظر میاد موهام را کرتینه کردم,HAPPY
واقعا نسبت به نمونه های دیگه  ارزش خرید نداره,ANGRY
من روی اچسی کراس tu5انداختم عالیه....,HAPPY
شبیه شهر پس از جنگ ، خالی و بی ابر نشسته‌ایم برای ادامه دادن صبر #اتحاد,OTHER
من یک ساله دارم واقعا تو این قیمت کار راه اندازه,HAPPY
تاختن در میدان جنگ دلی شیر می‌خواهد ن چشمی که دنبال میز و صندلی و ریاست باشد #جانفدا #رفیق_شهیدم ,OTHER
بهترین لاستیک ایرانی برای گروه پژو,OTHER
فوق العاده شیک و زیبا با نور عالی,HAPPY
در ازل پرتو حسنت ز تجلی دم زد عشق پیدا شد و آتش به همه عالم زد #شیفت_شعر,SAD
"یه هفته هست خریدم. 
فوق العاده.",HAPPY
دو هفته بیشتر کارنکرد اصلا بدرد نمیخورد,ANGRY
برای حل کمبود گاز مهران رجبی وارد لوله های گاز شد #مهسا_امینی,OTHER
تولد بهترین دوستمه و هزاران کیلومتر از هم فاصله داریم همین باعث میشه یک هفته گریه کنم,OTHER
چقدر خوبه که به فکر هم نوع خودمون باشیم و با #صرفه_جویی در مصرف گاز از قطع گاز جلو گیری کنیم،,OTHER
تنها چیزی که میتونم بگم اینه که عالیه,HAPPY
هزینه‌های کافی‌شاپ کمرمون و شکست. ,ANGRY
ببخشید این هشدار زلزله چی بود؟ همه فقط دارن میپرسن چیه,FEAR
به یغما رفته پاییزم زمستانم زمستانم تگرگِ استخوان ریزم زمستانم زمستانم...!,SAD
حتی بارون هم باعث نشد که بکشن کنار ?? #اعتراضات_سراسری_تلاویو ,SAD
خلاصه شده‌ی بعضی اسم‌ها دل نشین تره.,HAPPY
گوشی نسبتا خوبی است برای تلفن زدن خوبه,HAPPY
 اسماعیلیون به دامن تجزیه طلبان و مجاهدین پناه برد و در تاریخ محو می شود ?,OTHER
#یاداوری ⬆️✅روزهایی که می توان انتظار روند صعودی کریپتو و بورس را داشته باشیم #Stock #crypto,OTHER
می‌رود از فراق تو خون دل از دو دیده‌ام دجله به دجله یم به یم، چشمه به چشمه جو به جو,OTHER
نسب به قیمتش و کارای که داره عالیه,HAPPY
نامه ای به قلبم اینکه بعضی وقتا سرعت کمو زیاد میکنی دلیل خاصی داره؟,ANGRY
 واقعا شعور نداری حرف نزن.چرا مردم کشور سومین تولیدکننده گاز جهان باید با هیتر گرم بشن؟,ANGRY
ساعت ۶ باید پاشم و هرکاری میکنم خوابم نمیبره,SAD
سیل جمعیت علیه نتانیاهو در سرزمین‌های اشغالی به خیابان آمدند. #اعتراضات_سراسری_تلاویو,OTHER
ظاهری خوب ولی کیفیت بسیار کم و استفاده محدود,HAPPY
 بازهم جای شکر دارد که چپگرایان در آن زمان نبودند، وگرنه جنایات و قساوت صدها برابر میشد.,ANGRY
روزی که بفهمید پرچم کوردستان ربطی به تجزیه‌طلبی و توهمات ج.ا نداره اون روز عید منه! #مهسا_امینی,OTHER
من‌میگم‌‌این‌گوشی‌رو‌بخرید‌من‌که‌خیلی‌راضی‌ام,SAD
از کرونا به بعد دیگه هیچی مثل سابق نشد.,OTHER
آقا دارن برامون از بیرون سر می تراشند....حواستون هست؟؟,OTHER
اعزام نیروهای لشکر محمد رسول الله به لبنان جهت جنگ با رژیم صهیونیستی (۲) ,ANGRY
حالا من زیاد از گلشیفته خوشم نمیاد ولی نمیشه منکر تاثیر وضعیت اقتصادی توی اعتراضات شد.,HAPPY
کیفیت کالا عالی و با نور خورشید شارژ میشه,OTHER
دلم میخاد بدونم دخترک مو سبز و پسره کوله پشتی کجان؟ حالشون خوبه؟ #مهسا_امینی,OTHER
رئیسی: ?فقط در نقاط محدودی گاز قطع شد ?در مقطعی به ذخیره‌سازی گاز و نفت بی‌توجهی شد ,SAD
چراغ ستمکار تا صبح نمی‌سوزد. #اعتراضات_سراسری_تلاویو ,HAPPY
خیلی محکم خوبه ی ساله خریدم رنگش همون طوری مونده,ANGRY
پلاستیک های معمولی هم کار این محصول رو می‌کنه,OTHER
عاقا قبول نیست شما نیو یر شدین ما هنوز ته ۲۰۲۰ موندیم ???,HAPPY
"سلام .
از نظر زیبایی واقعا قشنگه . ارزش خرید داره",SAD
سیگار پشت سیگار دود میکنم ... شمع‌های خستگی‌ام را فوت میکنم,OTHER
 اونا که ایران رو قبول ندارن و به دنبال کردستان واحد هستن چرا نمیرن فعلا کردستان عراق زندگی کنن؟,OTHER
موج جدید سرما و بارشی که از غرب وارد شده نگرانی‌ها بابت قطعی گاز رو داره هرلحظه بیشتر میکنه,HAPPY
کیفیت قابل قبولی داره طراحیش هم عالیه,OTHER
ما باید تیتر میزدیم رییسی ، روحانی ، قالیباف ، لاریجانی ها و ... اعدام شدن ,HAPPY
خیلی خوبه حتما پیشنهاد می کنم جنسش هم خوبه,OTHER
آرزو میکنم Hello passengers و وقتی تو هواپیما دارم ازین کشور میرم ببینم ? ,HAPPY
سلام...ارسالی کالا از نوع رنگ و مدل متفاوت بود,HAPPY
من خریدم خیلی راضی ام.قیمتش نسبت به بیرون بهتره,ANGRY
اعتراض مردم تلاویو به حکومت دیکتاتور #اعتراضات_سراسری_تلاویو ,HAPPY
پیشنهاد میکنم بخرید منکه راضی هستم,OTHER
یک تیر برای دشمنانت کفایت می کند،،،۹ تیر را خرج خائنین داخلی کن.... #نهم_دی,OTHER
از خانه تا خيابان، برای سرنگونی طالبان,ANGRY
آب و برق و گاز مجانی و دیدین؟ حوری و انگور و عسل هم همینطوریه,OTHER
گزارش‌هایی از استعفای وزیر دفاع آلمان منتشر شده است!!! #روسیه #اوکراین #آلمان ,OTHER
برف هم اومد ثابت کنه که اینجوری شهر قشنگتره #نه_به_حجاب_اجباری #مهسا_امینی,ANGRY
داره گدایی میکنه،محل ندید علی الخصوص کوت نکنید #مهسا_امینی #جاویدشاه ,OTHER
بهترین موسیقی منتشر شده در حال حاضر,ANGRY
تو خونه ما صدا خر و پف قطع نمیشه فقط از شخصی به شخص دیگر انتقال پیدا میکنه ?,OTHER
به شخصه خودم پر پر شدن سه تا از اکانت هارو دیدم یه کم مراقب اکانتون باشید,ANGRY
حسرت انجام ندادن کارایی رو دارم که پارسال با شروع کرونا عقب انداختمشون.,OTHER
تو جویبار چیکار میکنن که هر دفعه منشأ زلزله اس!؟,SAD
قبل از کار تو معدن، سختترین کار نگهداشتن گریه‌ست وقتی تا تو چشماتو اشک پر کرده...,OTHER
هم‌اکنون سیل جمیعتی انبوه به‌سوی تریاک‌فروش,OTHER
قیام برلین بخاطر گرانی بنزین بود قیام استراسبورگ بخاطر نبود گاز (((: #دولت_ورشکسته #IRGCterorrists,HAPPY
این اسپینر عالیه فقط همین عالیـــــــــــه,OTHER
 وقتی داعش از قلب اروپا نیرو میگرفت منم همینو گفتم,SAD
جمعه ها آدم نیستم یه سگم که فقط گاز میگیره,SAD
اگه من جای یکی تو اعتراضات میمردم الان راحت بودم,FEAR
ای‌بابا چرا واسه من هشدار زلزله نیومد ناراحت شدم.,HAPPY
قیمت خیلی خوب هست تو بازار قیمتش خیلی بالاتره,SAD
دوست ژاپنیم نوشته من و زنم دز پنجم واکسن رو زدیم و نگران ما نباش!! بعد من دز سوم رو به زور زدم :)),ANGRY
یعنی اگه مسواک خالی بزنید از این بهتره,HAPPY
خیلی کوچیکه و نور خیلی کمی داره,OTHER
میشه یکی توضیح بده ویلای خالی از سکنه چجوری گاز مصرف می‌کنه؟? ,HAPPY
این رمان بسیار زیبا بود و من حتما پیشنهادش می کنم,OTHER
پنجاه هزارتومن تو بورس سود کردم می‌دونی از چی حرف میزنم؟ تجارت,SAD
نذارین آدما فکر کنن که هرموقع برگردن یه گوشه منتظرشون وایسادین.,ANGRY
چون تو با بد، بد کنی پس فرق چیست؟! #مولانا #حضرت_عشق #حضرت_مولانا #مولانای_جان #غزل_مولانا #مولوی,HAPPY
شدیدا پیشنهاد میشه.. پشیمون نمیشین,OTHER
اگه این هشدار زلزله هک بوده باشه واقعا دلم میخواد با اون رییس پدافند غیرعامل یه دیدار داشته باشم.,ANGRY
از خریدش پشیمانم اصلا کارایی ندارد,ANGRY
برای امثال ما واقعاً بازگشتی وجود نداره. #مهسا_امینی ,OTHER
#نگین که حتی فامیلش رو هم نمیدونم از همه غریبتر رفت #مهسا_امینی,OTHER
 این دیوونه رو بلاک کنید لطفا، نیاریدش توی تایم لاین ??‍♀️ #مهسا_امینی,HAPPY
"واقعا زیبا و با کیفیت
مناسب سراتو سایپا",ANGRY
من تو اوج کرونا مریض نشدم. الان وسط اینهمه کار و بدبختی چرا باید مریض شم؟,HAPPY
پیشنهاد مکنم حتما بخرید حرف نداره ....,ANGRY
اصلا ارزش خرید نسبت به قیمت ندارد,ANGRY
این محا فظ کوچکتر از صفحه گوشی می باشد.,SAD
 ‌‌تا نپیماید کسی دشتِ جنون کی پی برد آنچه بر مجنونِمسکین از غمِ لیلا گذشت #صبوری_رشتی,FEAR
استانبول زلزله شدید اومد الان. من که خوابم سنگینه از خواب پریدم.,OTHER
2021 شد؟؟؟ خب به عنم که 2021 شد!!!! ,HAPPY
زیبا و مناسب برای طرفداران طلای ظریف.,HAPPY
عالیه بشرطی که مو به موش رو انجام بدین,SAD
میان سیل غم ها ، غم دی را چه کنم؟! #عزیز_مردم #جانفدا‌‌,OTHER
دیشب یکی رو پیدا کردم که کرمانجی می‌فهمید و برای اولین بار وسط کانادا کردی حرف زدم و حس خونه داشت ?,HAPPY
تلفن کاملا خوب و کاملا استاندارد,OTHER
ولی کره بادوم زمینی همیشه جوابه.,ANGRY
پولمو دور ریختم . فیلتر رو تا بستم اب بو گرفت,HAPPY
بسیار خوب و راحت.پیشنهاد میکنم حتما بخرید,ANGRY
رنگش خیلی تیره اس. رنگ ابروهای منو اصلا باز نکرد,HAPPY
نحوه درست استفاده از مک‌بوک:)) ,HAPPY
از هر لحاظ عالی و مقرون به صرفه .,HAPPY
خیلی خوبه. من 5 دست ازش خریدم. واقعا عالیه.,HAPPY
با قیمت ارائه شده متناسب می باشد,OTHER
چین و پایان محدودیت‌های کرونا؛ بازگشت گردشگران به پارک یخی و برفی «هاربین» بیشتر بخوانید: ,OTHER
خیلی عالی شگفت انگیز کنید اگه ممکنه,HAPPY
?هپی مپی 2021# ? چه خوشکل شدم سال جدید? ,OTHER
بیست سال پیشم ماشین خوبی نبود و برسه به الان,SAD
سیلِ آه خلق.. سد ظلم را خواهد شکست! #محسن_شکاری,ANGRY
پشماممم ریخت یعنییی!! پیچوند و رفت کانادا. بچه زرنگ اینه??‍♂️. بی سر و صدا. باید یاد بگیرم ازش??‍♂️,OTHER
تو اینستاگرام سال تحویل شده توی توییتر جنگه؛ قَضیه جنگ چیه ملت؟ کسی چیزی گفته؟ جدی یکی بگه چیشده,OTHER
راهکارهای کاهش مصرف گاز با رعایت کردن خودمون به بفکر دیگران هم باشیم‌. #هرخانه_یک_اتاق_گرم ,SAD
تنهامسابقه ای که توش برنده شدم و کله عمرمو باخت دادم… ,SAD
 روز به روز بیشتر عاشق مولانا میشم??,SAD
شب های هجر را گذراندیم و زندەایم ما را بە سخت جانی خود این گمان نبود... #مهسا_امینی ,OTHER
دوستی که ۲ و نیم شب زنگ میزنه فوت میکنه چیه ؟,ANGRY
"بو بد میده زودم میترکه
مال من که ترکید",OTHER
آغاز موج هشتم کرونا در ایران؛ ابتلا به کووید تا عید نوروز به نقطه اوج می‌رسد جزئیات بیشتر? ,OTHER
کلمه‌ی شاه‌زاده رو دوست ندارن، بگید محمدرضازاده.,HAPPY
سال نو همگی مبارک. سالی پر از کتلت و املت سوار بر نیسان آبی برای همگی شما آرزو میکنم.,OTHER
سوال من در مورد واکسیناسیونشونه؛چقدر باید از اخرین واکسن گذشته باشه,OTHER
 درسته، اما تا وقتی برد برده کردیتشونو بدیم اوپوزسیون یاد بگیره. کارشون کم نقص بود.,HAPPY
دارای نور فوق العاده،حتما پیشنهاد میکنم,HAPPY
نسبت به قیمتش فوق العاده اس. پر نور و با قدرت,SAD
من هرمش استرس دارم روز تولدم توييتر بادكنك نده بهم,FEAR
"میترسم نگاش کنم
میترسم خودم هنگ کنم",OTHER
دوس دارم تو ۲۰۲۱ یه ویروس بیاد، فقط ماله‌کش بشوره ببره بقیه چیزا خودش درست میشه,HAPPY
عاشق ژنتیکم، الکی نه‌ها، در حدی که درسای سه واحدی مربوط به ژنتیکو بالای ۱۷ می‌نویسم قشنگ :))),OTHER
رضا پروانه ي زندگيتو پيدا كني برد دادي.,OTHER
سرخط خبرهای ۶ عصر، پنجشنبه ۲۹ جدی ۱۴۰۱ ,HAPPY
بوی عالی  ماندگاری خوب خیلی خوشم امدش مرسی دیجی,OTHER
گاز که نداریم اینترنت هم روش? #وطن,ANGRY
من چندتاشو برا مغازه گرفتم باطریاشون کلا خرابن!,ANGRY
"خیلی بی کیفیت 
حتی بچه ها هم باهاش بازی نمیکنن",HAPPY
